,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
124,05_08_2025,05_08_2025_Setup10,0.380705758,3,1148060,141907,929527,0.517262043,0.063936645,0.418801312,15.62421299,29.336
125,05_08_2025,05_08_2025_Setup11,0.653072176,3,1125219,129931,1478351,0.411640237,0.047532816,0.540826947,14.52547352,26.508
126,05_08_2025,05_08_2025_Setup12,0.315920177,0,1779772,518311,279077,0.690594298,0.201117121,0.108288581,0,#NAME?
127,05_08_2025,05_08_2025_Setup13,0.627823499,2,676479,433467,1794237,0.232932635,0.14925609,0.617811274,12.06970843,25.229
128,05_08_2025,05_08_2025_Setup14,0.118037859,0,1075526,11988,53206,0.942848376,0.010509152,0.046642471,0,0
129,05_08_2025,05_08_2025_Setup16,0.45750547,4,1168400,82372,769670,0.578289305,0.040769297,0.380941398,13.15776031,25.434
130,05_08_2025,05_08_2025_Setup17,0.470055249,3,343703,53770,482413,0.390622194,0.061110189,0.548267616,11.98746301,24.12
131,05_08_2025,05_08_2025_Setup18,0.602847235,5,1183423,116222,979731,0.519187269,0.050988516,0.429824215,19.69727408,26.394
132,05_08_2025,05_08_2025_Setup2,0.563424194,4,1727407,173282,1069432,0.581594824,0.058341731,0.360063445,15.29081156,31.25
133,05_08_2025,05_08_2025_Setup20,0.633689143,6,1081764,139146,1196763,0.447440163,0.057553689,0.495006148,17.93488534,29.105
134,05_08_2025,05_08_2025_Setup21,0.308607695,2,494122,143026,612850,0.395298232,0.114420983,0.490280784,2.727262438,20.978
135,05_08_2025,05_08_2025_Setup22,0.565716368,2,1034348,1058136,801269,0.357441703,0.36566217,0.276896128,7.417180669,30.32
136,05_08_2025,05_08_2025_Setup23,0.334108805,3,1524567,113131,583295,0.686434851,0.050937126,0.262628023,7.295350869,25.188
137,05_08_2025,05_08_2025_Setup3,0.309971454,1,790189,337783,1280409,0.328099665,0.140253141,0.531647194,6.537509327,17.843
138,05_08_2025,05_08_2025_Setup4,0.695952078,2,1127848,1190687,1676861,0.282286912,0.298014765,0.419698323,9.669669606,32.876
